id;nom;prenom;photo;photo_content_type;annee;longeur;largeur
1;Rubber Lorraine Gloves;applications open-source Buckinghamshire;../fake-data/blob/hipster.png;image/png;2022-07-16;23743;72602
2;transmitter Corse;Avon Bourgogne;../fake-data/blob/hipster.png;image/png;2022-07-16;96413;86785
3;deposit;Ergonomic Bretagne Dollar;../fake-data/blob/hipster.png;image/png;2022-07-16;92682;4223
4;b a structure;b;../fake-data/blob/hipster.png;image/png;2022-07-16;59731;79372
5;payment copying;Saint-Séverin calculating c;../fake-data/blob/hipster.png;image/png;2022-07-16;52589;13345
6;front-end Account initiatives;Administrateur payment initiatives;../fake-data/blob/hipster.png;image/png;2022-07-15;57206;38833
7;paradigm c ability;PNG;../fake-data/blob/hipster.png;image/png;2022-07-16;31455;54879
8;Hat;open-source reboot Cheese;../fake-data/blob/hipster.png;image/png;2022-07-16;11051;49785
9;Zimbabwe Manat Rhône-Alpes;envisioneer yellow;../fake-data/blob/hipster.png;image/png;2022-07-15;71125;43330
10;Re-contextualized Bac copy;1080p Rubber;../fake-data/blob/hipster.png;image/png;2022-07-16;40428;42269
