id;nom;prenom;email;date_naissance;matricule;type_dossier;annee;serie;filiere;nom_semestre;niveau;type_releve;nom_diplome;photo;photo_content_type
1;Centralized;driver;Csaire.Charles88@gmail.com;2022-07-16;empowering open-source;Attestation;2022-07-16;S4;Mine_Cariere;Semestre2;BTS2;Ajourne;TitreProfessionnel;../fake-data/blob/hipster.png;image/png
2;Soft Pre-emptive a;matrix;Albert.Marie@yahoo.fr;2022-07-16;b;Diplome;2022-07-16;STIDD_E;MenuiserieBois;Semestre2;TitreProfessionnel;Admis;CAP;../fake-data/blob/hipster.png;image/png
3;Monténégro Enhanced;Fresh technologies robust;Trajan.Philippe@yahoo.fr;2022-07-16;tan Granite Designer;CarteScolaire;2022-07-16;STIDD_E;Sante;Semestre3;CAP3;Ajourne;BEP;../fake-data/blob/hipster.png;image/png
4;gold;flexibility Intelligent;Amlien_Leroux86@yahoo.fr;2022-07-16;PNG a;Releve;2022-07-16;S3;Structure_Plastique;Semestre3;CPS;Ajourne;BTS;../fake-data/blob/hipster.png;image/png
5;applications;Zadkine enhance 1080p;Amandine_Olivier@yahoo.fr;2022-07-16;Credit;Verification;2022-07-16;STIDD_E;Peche;Semestre1;TechnicienSpecialise;Ajourne;CAEP;../fake-data/blob/hipster.png;image/png
6;Table Gourde;Botswana matrix Baby;Mlisande.Michel47@gmail.com;2022-07-16;Steel;CarteScolaire;2022-07-16;STIDD_M;Mine_Cariere;Semestre1;BTS2;Ajourne;CPS;../fake-data/blob/hipster.png;image/png
7;application;a;Janine_Michel85@yahoo.fr;2022-07-16;Rustic partnerships Stagiaire;Attestation;2022-07-16;STEG;Structure_Plastique;Semestre2;BT1;Admis;TS;../fake-data/blob/hipster.png;image/png
8;state Chair Mouffetard;Israël network Saint-Denis;Athanase93@hotmail.fr;2022-07-16;maximized Sharable bluetooth;Attestation;2022-07-16;STIDD_M;Sante;Semestre3;BT3;Ajourne;BT;../fake-data/blob/hipster.png;image/png
9;incremental rich monitoring;Charlemagne enterprise;Amaranthe27@gmail.com;2022-07-16;Granite Berkshire Ergonomic;CarteScolaire;2022-07-16;S3;Elevage;Semestre2;BEP3;Ajourne;TitreProfessionnel;../fake-data/blob/hipster.png;image/png
10;c;COM Pizza Géorgie;Auxane.Maillard@yahoo.fr;2022-07-16;Rustic Molière azure;Releve;2022-07-16;S4;Electrotechnique;Semestre2;BT3;Admis;METP;../fake-data/blob/hipster.png;image/png
